"model","span","log_loss","mse","misclass_rate"
"0","0.1",0.36573064074083,0.119271532143671,0.175579558159089
"0","0.2",0.365732106120878,0.119273262788289,0.17557771022554
"0","0.3",0.365724863216231,0.119272159422922,0.175574938325218
"0","0.4",0.365663010569831,0.119272263387685,0.175543523454897
"0","0.5",0.365651882793193,0.119264189107035,0.175580482125863
"1","0.1",0.365955335998208,0.119363611826595,0.175865063892302
"1","0.2",0.365946069984205,0.119362472267074,0.175867835792625
"1","0.3",0.36591538183379,0.119360335230652,0.175892782895527
"1","0.4",0.365844919366809,0.119352206118903,0.175844736623271
"1","0.5",0.365815890338895,0.119337257818655,0.175795766384241
"2","0.1",0.365889984775123,0.119344377100644,0.175752339945856
"2","0.2",0.365856666625726,0.119343544597151,0.175850280423916
"2","0.3",0.365820746503918,0.119347226909561,0.175882619261011
"2","0.4",0.365831021320847,0.119344175284151,0.175832725055207
"2","0.5",0.365951111527675,0.119349971054504,0.175827181254562
"3","0.1",0.365898696355733,0.119358886525557,0.17559988542812
"3","0.2",0.365871946151534,0.119361446442154,0.175632224265215
"3","0.3",0.365948636497977,0.11937936935169,0.175655323434569
"3","0.4",0.36621168254873,0.119429336436876,0.175715381274889
"3","0.5",0.366477803316424,0.119486107189252,0.175806853985531
"4","0.1",0.365879983265511,0.119323030676322,0.175683042437794
"4","0.2",0.36586588185282,0.119319784375542,0.17559988542812
"4","0.3",0.365834179513539,0.119316807725076,0.175603581295217
"4","0.4",0.365772809043879,0.119311755892913,0.175604505261991
"4","0.5",0.365765239697285,0.119299438052478,0.175582330059411
"4","multi-span",0.365840710480782,0.119309544138417,0.175598037494572
